Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2016469,MCV2,COUNTRY,MKD,EUR,YEAR,Europe,,2020,,,,,,,,68,68.0,,,,2024-07-12T15:36:37.797+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
7230812,MCV2,COUNTRY,CHN,WPR,YEAR,Western Pacific,,2023,,,,,,,,95,95.0,,,,2024-07-12T15:36:37.797+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9066763,MCV2,COUNTRY,ARE,EMR,YEAR,Eastern Mediterranean,,2001,,,,,,,,92,92.0,,,,2024-07-12T15:36:37.797+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
5655487,MCV2,COUNTRY,PER,AMR,YEAR,Americas,,2014,,,,,,,,44,44.0,,,,2024-07-12T15:36:37.797+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7417720,MCV2,COUNTRY,RUS,EUR,YEAR,Europe,,2018,,,,,,,,97,97.0,,,,2024-07-12T15:36:37.797+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9186908,MCV2,COUNTRY,ISL,EUR,YEAR,Europe,,2023,,,,,,,,89,89.0,,,,2024-07-12T15:36:37.797+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
7704848,MCV2,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,2020,,,,,,,,64,64.0,,,,2024-07-12T15:36:37.797+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
4294193,MCV2,COUNTRY,MUS,AFR,YEAR,Africa,,2015,,,,,,,,96,96.0,,,,2024-07-12T15:36:37.797+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9650166,MCV2,COUNTRY,VCT,AMR,YEAR,Americas,,2022,,,,,,,,99,99.0,,,,2024-07-12T15:36:37.797+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8058905,MCV2,COUNTRY,AND,EUR,YEAR,Europe,,2016,,,,,,,,90,90.0,,,,2024-07-12T15:36:37.797+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
