Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4373475,vfull,COUNTRY,NGA,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_NGAMICS200723,2007,,,,,DATASOURCE,DATASOURCE_EQ_MICS,36.7 [23.1-52.9],36.73469,23.06744,52.92855,Attention - Estimate is based on 25-49 cases,2022-05-26T14:37:25+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4374415,vfull,COUNTRY,SLV,AMR,YEAR,Americas,AGEGROUP,AGEGROUP_YEARS15-19,2008,,,,,DATASOURCE,DATASOURCE_EQ_RHS,No data,,,,Not reported - Estimate is based on fewer than 25 cases,2022-05-26T11:01:34+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
4377581,vfull,COUNTRY,GTM,AMR,YEAR,Americas,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,2008,,,,,DATASOURCE,DATASOURCE_EQ_RHS,69.6 [62.3-76.0],69.57224,62.28735,75.9923,,2022-05-26T12:52:51+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
4377695,vfull,COUNTRY,NGA,AFR,YEAR,Africa,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,2008,,,,,DATASOURCE,DATASOURCE_EQ_DHS,52.9 [48.6-57.2],52.9241,48.57421,57.23003,,2022-05-26T12:59:53+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
4379266,vfull,COUNTRY,RWA,AFR,YEAR,Africa,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,2000,,,,,DATASOURCE,DATASOURCE_EQ_DHS,76.4 [70.4-81.5],76.42974,70.40682,81.5481,,2022-05-26T13:02:30+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4379378,vfull,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,2007,,,,,DATASOURCE,DATASOURCE_EQ_DHS,89.4 [83.2-93.5],89.44334,83.22747,93.53457,,2022-05-26T12:55:02+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4379668,vfull,COUNTRY,PER,AMR,YEAR,Americas,DHSMICSGEOREGION,DHSMICSGEOREGION_PERDHS201120,2011,,,,,DATASOURCE,DATASOURCE_EQ_DHS,62.1 [49.6-73.2],62.10986,49.62732,73.17138,,2022-05-26T14:41:36+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4379917,vfull,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,AGEGROUP,AGEGROUP_YEARS20-49,2012,,,,,DATASOURCE,DATASOURCE_EQ_DHS,54.0 [50.3-57.7],53.98191,50.25496,57.66485,,2022-05-26T11:05:05+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4381204,vfull,COUNTRY,ZWE,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_ZWEDHS200504,2005,,,,,DATASOURCE,DATASOURCE_EQ_DHS,58.8 [47.1-69.6],58.76253,47.05998,69.55193,,2022-05-26T14:53:50+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4382472,vfull,COUNTRY,GHA,AFR,YEAR,Africa,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,1998,,,,,DATASOURCE,DATASOURCE_EQ_DHS,47.1 [39.8-54.5],47.0799,39.83099,54.45412,,2022-05-26T11:18:01+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
4383852,vfull,COUNTRY,KIR,WPR,YEAR,Western Pacific,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,2018,,,,,DATASOURCE,DATASOURCE_EQ_MICS,16.1 [6.9-33.3],16.13492,6.89923,33.31053,Attention - Estimate is based on 25-49 cases,2022-05-26T12:15:44+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4383886,vfull,COUNTRY,MWI,AFR,YEAR,Africa,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,2000,,,,,DATASOURCE,DATASOURCE_EQ_DHS,69.2 [64.0-74.0],69.23422,64.02369,73.9966,,2022-05-26T12:56:51+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4384928,vfull,COUNTRY,MNG,WPR,YEAR,Western Pacific,DHSMICSGEOREGION,DHSMICSGEOREGION_MNGMICS200505,2005,,,,,DATASOURCE,DATASOURCE_EQ_MICS,80.8 [72.4-87.1],80.80357,72.42817,87.08835,,2022-05-26T14:34:22+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4385279,vfull,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,2006,,,,,DATASOURCE,DATASOURCE_EQ_MICS,19.7 [10.8-33.4],19.73483,10.76865,33.37421,,2022-05-26T12:38:04+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4385479,vfull,COUNTRY,ETH,AFR,YEAR,Africa,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,2016,,,,,DATASOURCE,DATASOURCE_EQ_DHS,30.9 [26.6-35.6],30.90174,26.60935,35.55115,,2022-05-26T11:17:39+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4386624,vfull,COUNTRY,PER,AMR,YEAR,Americas,DHSMICSGEOREGION,DHSMICSGEOREGION_PERDHS200915,2009,,,,,DATASOURCE,DATASOURCE_EQ_DHS,51.5 [42.5-60.3],51.46049,42.54427,60.28472,,2022-05-26T14:41:07+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
4387388,vfull,COUNTRY,KEN,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,1998,,,,,DATASOURCE,DATASOURCE_EQ_DHS,77.8 [65.6-86.6],77.79668,65.60204,86.55421,,2022-05-26T12:15:21+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
4387579,vfull,COUNTRY,TLS,SEAR,YEAR,South-East Asia,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,2009,,,,,DATASOURCE,DATASOURCE_EQ_DHS,67.8 [59.8-74.9],67.77602,59.75444,74.87112,,2022-05-26T12:33:43+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
4388375,vfull,COUNTRY,MRT,AFR,YEAR,Africa,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,2007,,,,,DATASOURCE,DATASOURCE_EQ_MICS,24.4 [18.6-31.4],24.40126,18.56667,31.36322,,2022-05-26T12:57:43+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4388460,vfull,COUNTRY,BGD,SEAR,YEAR,South-East Asia,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,2012,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T11:14:17+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4388934,vfull,COUNTRY,PER,AMR,YEAR,Americas,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,2016,,,,,DATASOURCE,DATASOURCE_EQ_DHS,73.8 [71.6-75.9],73.84807,71.63301,75.94824,,2022-05-26T11:23:04+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4389147,vfull,COUNTRY,ARG,AMR,YEAR,Americas,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,2011,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T11:56:36+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
